pr_date,ratio_comm_cases_pw_over_wb
2022-05-07,0.96
2022-05-08,1.01
2022-05-09,1.1
2022-05-10,1.49
2022-05-11,1.77
2022-05-12,1.49
2022-05-13,1.48
2022-05-14,1.42
2022-05-15,1.39
2022-05-16,1.32
2022-05-17,1.03
2022-05-18,1.05
2022-05-19,1.14
2022-05-20,1.09
2022-05-21,1.09
2022-05-22,1.08
2022-05-23,1.11
2022-05-24,1.35
2022-05-25,1.12
2022-05-26,1.05
2022-05-27,1.03
2022-05-28,1.0
2022-05-29,0.98
2022-05-30,0.95
2022-05-31,0.82
2022-06-01,0.87
2022-06-02,0.88
2022-06-03,0.87
2022-06-04,0.86
2022-06-05,0.86
2022-06-06,0.86
2022-06-07,0.87
2022-06-08,0.9
2022-06-09,0.89
2022-06-10,0.91
2022-06-11,0.93
2022-06-12,0.96
2022-06-13,0.97
2022-06-14,1.01
2022-06-15,1.02
2022-06-16,1.06
2022-06-17,1.12
2022-06-18,1.13
2022-06-19,1.14
2022-06-20,1.17
2022-06-21,1.23
2022-06-22,1.3
2022-06-23,1.38
2022-06-24,1.42
2022-06-25,1.48
2022-06-26,1.52
2022-06-27,1.56
2022-06-28,1.62
2022-06-29,1.65
2022-06-30,1.62
2022-07-01,1.6
2022-07-02,1.55
2022-07-03,1.51
2022-07-04,1.45
2022-07-05,1.34
2022-07-06,1.26
